,populaion,density,foreign_rate,bsc_lvlhood_ratio,avg_income_amt,elder_ratio,label
종로구사직동,9362.0,2.0,0.0291604358043153,0.0273522975929978,8.75369235812426,0.2036053970360539,1.0
종로구삼청동,2576.0,2.0,0.1160714285714285,0.0399290150842945,8.612423627781398,0.2655417406749556,0.0
종로구부암동,9377.0,2.0,0.0282606377306174,0.0421511627906976,8.567173123721258,0.202823992994746,1.0
종로구평창동,17658.0,2.0,0.0103069430286555,0.0199750312109862,9.026260069495322,0.2052516913198027,0.0
종로구무악동,8015.0,3.0,0.0038677479725514,0.06843853820598,8.381916276253252,0.1877184223664503,1.0
종로구교남동,9916.0,2.0,0.0168414683340056,0.0491428571428571,8.523286588904789,0.1724742268041237,1.0
종로구가회동,4031.0,2.0,0.0300173654180104,0.0398138572905894,8.667829273703397,0.218266253869969,0.0
종로구종로1.2.3.4가동,8582.0,1.0,0.2192962013516662,0.1590449210845811,8.651709314551725,0.2600297176820208,0.0
종로구종로5.6가동,5921.0,2.0,0.0817429488262117,0.088097210715272,8.274807695593873,0.1976313841598815,1.0
종로구이화동,7601.0,2.0,0.0782791737929219,0.0674315148677124,8.278517979230314,0.1979107040641099,0.0
종로구창신1동,5401.0,2.0,0.1499722273653027,0.1866616989567809,8.15133622140262,0.265189734590919,0.0
종로구창신2동,8684.0,2.0,0.127360663288807,0.1228728728728728,8.15133622140262,0.2470494629359501,0.0
종로구창신3동,6574.0,2.0,0.0243383024034073,0.0889769452449567,8.15133622140262,0.2042706861359711,0.0
종로구숭인1동,6064.0,2.0,0.0517810026385224,0.0995292535305985,8.273186000130918,0.2197231833910034,0.0
종로구숭인2동,10541.0,1.0,0.0745659804572621,0.0722983257229832,8.273186000130918,0.1787956767884714,0.0
종로구청운효자동,11700.0,2.0,0.0161538461538461,0.0447615324472243,8.685772420148007,0.1897111754894214,0.0
종로구혜화동,19346.0,2.0,0.1699576139770495,0.0412863972186006,8.585341751016644,0.1679785107446277,0.0
