new_index,ancestry,population,korean,foreigner,density,foreign_rate
소계소계,4469158,9659322,9414093,245229,2,0.02538780672183824
종로구소계,72507,151349,140397,10952,2,0.07236255277537347
종로구사직동,4570,9362,9089,273,2,0.029160435804315318
종로구삼청동,1127,2576,2277,299,2,0.11607142857142858
종로구부암동,4128,9377,9112,265,2,0.028260637730617467
종로구평창동,7209,17658,17476,182,2,0.010306943028655566
종로구무악동,3010,8015,7984,31,3,0.003867747972551466
종로구교남동,4375,9916,9749,167,2,0.016841468334005648
종로구가회동,1934,4031,3910,121,2,0.03001736541801042
종로구종로1.2.3.4가동,4942,8582,6700,1882,1,0.21929620135166628
종로구종로5.6가동,3621,5921,5437,484,2,0.08174294882621179
종로구이화동,4271,7601,7006,595,2,0.07827917379292199
종로구창신1동,2684,5401,4591,810,2,0.14997222736530272
종로구창신2동,3996,8684,7578,1106,2,0.127360663288807
종로구창신3동,2776,6574,6414,160,2,0.024338302403407362
종로구숭인1동,2974,6064,5750,314,2,0.05178100263852243
종로구숭인2동,6570,10541,9755,786,1,0.07456598045726212
종로구청운효자동,5116,11700,11511,189,2,0.016153846153846154
종로구혜화동,9204,19346,16058,3288,2,0.16995761397704953
중구소계,64375,132054,121441,10613,2,0.08036863707271268
중구소공동,1253,3559,2207,1352,2,0.3798819893228435
중구회현동,2541,5166,4468,698,2,0.13511420828494
중구명동,1436,3610,2691,919,2,0.2545706371191136
중구필동,2462,4905,3977,928,2,0.18919469928644242
중구장충동,2875,5423,4600,823,2,0.15176101788677854
중구광희동,3850,7113,5681,1432,1,0.20132152397019543
중구을지로동,1905,2906,2650,256,1,0.088093599449415
중구신당5동,5327,10438,10098,340,2,0.03257328990228013
중구황학동,7438,13711,12810,901,2,0.06571366056451025
중구중림동,5738,12269,11940,329,2,0.02681555138968131
중구신당동,4752,9007,7505,1502,2,0.16675918729876762
중구다산동,6841,13886,13403,483,2,0.03478323491286187
중구약수동,7778,16512,16282,230,2,0.013929263565891473
중구청구동,6193,13361,13114,247,2,0.018486640221540306
중구동화동,3986,10188,10015,173,3,0.016980761680408324
용산구소계,109679,232069,217288,14781,2,0.06369226393874236
용산구후암동,8280,16638,16148,490,2,0.029450655126818128
용산구용산2가동,5093,10262,8993,1269,2,0.12366010524264276
용산구남영동,4948,7465,6963,502,1,0.06724715338245144
용산구원효로1동,9327,17851,17179,672,2,0.03764494986275279
용산구원효로2동,6201,13826,13714,112,2,0.008100679878489801
용산구효창동,4740,10895,10757,138,2,0.012666360715924736
용산구용문동,5308,11571,11459,112,2,0.009679370840895343
용산구이촌1동,9153,25604,24988,616,3,0.024058740821746603
용산구이촌2동,3598,8036,7965,71,2,0.008835241413638626
용산구이태원1동,3472,7990,6084,1906,2,0.23854818523153942
용산구이태원2동,4826,10326,8653,1673,2,0.1620182064691071
용산구서빙고동,5102,13430,12544,886,2,0.0659717051377513
용산구보광동,6970,13840,12488,1352,2,0.09768786127167631
용산구청파동,11136,19800,19042,758,2,0.03828282828282828
용산구한강로동,11335,22839,21175,1664,2,0.07285783090327948
용산구한남동,10190,21696,19136,2560,2,0.11799410029498525
성동구소계,133484,286564,279374,7190,2,0.025090381206292485
성동구왕십리2동,7364,16572,16204,368,2,0.022206130823075067
성동구마장동,10926,22517,21864,653,2,0.02900031087622685
성동구사근동,8278,14080,12046,2034,1,0.14446022727272728
성동구행당1동,6464,13994,13711,283,2,0.02022295269401172
성동구행당2동,9258,23083,22986,97,2,0.0042022267469566344
성동구응봉동,5946,15014,14957,57,3,0.0037964566404688955
성동구금호1가동,6551,15024,14937,87,2,0.00579073482428115
성동구금호4가동,6419,14405,14277,128,2,0.008885803540437349
성동구성수1가1동,7456,15895,15589,306,2,0.019251336898395723
성동구성수1가2동,5982,12274,12078,196,2,0.015968714355548315
성동구성수2가1동,7742,15321,14847,474,2,0.030937928333659683
성동구성수2가3동,5301,10447,10208,239,2,0.022877381066334832
성동구송정동,5423,10302,9908,394,2,0.038245000970685304
성동구용답동,7521,12821,11861,960,2,0.07487715466812261
성동구왕십리도선동,12224,26903,26405,498,2,0.01851094673456492
성동구금호2.3가동,9882,22219,22053,166,2,0.007471083307079527
성동구옥수동,10747,25693,25443,250,2,0.009730276729070175
광진구소계,169857,350820,336169,14651,2,0.04176215723162875
광진구화양동,18246,27438,23428,4010,1,0.1461476784022159
광진구군자동,11387,21530,19290,2240,2,0.10404087320018579
광진구중곡1동,8637,15766,15361,405,2,0.02568818977546619
광진구중곡2동,10666,21111,20776,335,2,0.01586850457107669
광진구중곡3동,8557,16119,15863,256,2,0.015881878528444693
광진구중곡4동,13116,28142,27778,364,2,0.01293440409352569
광진구능동,6461,11564,11172,392,2,0.03389830508474576
광진구구의1동,13170,24075,23398,677,2,0.028120456905503636
광진구구의2동,11514,26410,25838,572,2,0.021658462703521394
광진구구의3동,12084,28281,28041,240,2,0.008486262861992151
광진구광장동,11830,34237,34038,199,3,0.0058124251540730785
광진구자양1동,12074,22979,22105,874,2,0.038034727359763265
광진구자양2동,10837,24059,23741,318,2,0.013217506962051623
광진구자양3동,11005,27713,27390,323,2,0.011655179879478944
광진구자양4동,10273,21396,17950,3446,2,0.1610581417087306
동대문구소계,171703,355667,338115,17552,2,0.04934953200606185
동대문구전농1동,14822,29227,28591,636,2,0.021760700721935197
동대문구전농2동,7575,18540,18129,411,2,0.022168284789644013
동대문구답십리1동,12868,28434,28013,421,2,0.014806217908138145
동대문구답십리2동,12515,27918,27642,276,2,0.009886094992477971
동대문구장안1동,18391,38402,37763,639,2,0.016639758345919485
동대문구장안2동,14268,32768,32464,304,2,0.00927734375
동대문구회기동,6716,13577,10476,3101,2,0.22840097223245195
동대문구휘경1동,7796,16279,13903,2376,2,0.14595491123533386
동대문구휘경2동,12779,25325,24417,908,2,0.035853899308983216
동대문구이문1동,10729,21266,17844,3422,2,0.1609141352393492
동대문구이문2동,8688,20026,19510,516,2,0.025766503545390992
동대문구청량리동,10087,19438,18884,554,2,0.02850087457557362
동대문구용신동,21024,38161,36496,1665,2,0.04363093210345641
동대문구제기동,13445,26306,23983,2323,2,0.08830685014825515
중랑구소계,187981,389316,384272,5044,2,0.012956056262778822
중랑구면목2동,12239,24153,23771,382,2,0.015815840682316895
중랑구면목4동,8946,18645,18345,300,2,0.016090104585679808
중랑구면목5동,6439,14769,14636,133,2,0.009005349041912114
중랑구면목7동,10610,21732,21406,326,2,0.01500092030185901
중랑구상봉1동,10127,23537,23375,162,2,0.006882780303352169
