new_index,ancestry,sum_bsc_lklhood,gen_bsc_lklhood,gen_pop,con_bsc_anc,pop_bsc,bsc_lvlhood_ratio
종로구소계,4215,5559,3615,4221,419,593,0.07666845959700443
종로구사직동,112,125,105,117,7,8,0.02735229759299781
종로구삼청동,38,45,29,31,5,10,0.03992901508429459
종로구부암동,135,174,117,144,13,25,0.04215116279069767
종로구평창동,107,144,91,112,13,29,0.019975031210986267
종로구무악동,154,206,140,180,7,14,0.06843853820598006
종로구교남동,172,215,153,190,14,20,0.04914285714285714
종로구가회동,61,77,51,66,6,7,0.03981385729058945
종로구종로1.2.3.4가동,771,786,638,650,96,98,0.15904492108458115
종로구종로5.6가동,276,319,235,257,31,49,0.08809721071527202
종로구이화동,228,288,206,260,12,18,0.06743151486771248
종로구창신1동,430,501,366,424,50,63,0.18666169895678092
종로구창신2동,407,491,350,414,38,57,0.12287287287287288
종로구창신3동,175,247,152,209,18,33,0.08897694524495678
종로구숭인1동,240,296,203,243,19,34,0.09952925353059852
종로구숭인2동,440,475,370,391,46,59,0.07229832572298325
종로구청운효자동,162,229,148,204,11,22,0.044761532447224396
종로구혜화동,295,380,249,318,33,47,0.041286397218600605
종로구기타,12,561,12,11,-,-,
중구소계,4732,5905,4209,5121,439,577,0.09172815533980583
중구소공동,49,49,38,38,9,9,0.03910614525139665
중구회현동,443,463,388,406,47,49,0.1822117276662731
중구명동,81,93,68,78,12,14,0.06476323119777158
중구필동,94,103,80,88,11,12,0.04183590576766856
중구장충동,126,157,106,136,14,15,0.05460869565217391
중구광희동,195,232,167,199,23,28,0.06025974025974026
중구을지로동,146,148,131,133,15,15,0.07769028871391076
중구신당5동,397,511,364,474,31,35,0.09592641261498029
중구황학동,439,536,387,472,44,55,0.07206238236084969
중구중림동,515,622,442,522,62,87,0.10840013942140118
중구신당동,366,440,335,402,28,35,0.09259259259259259
중구다산동,386,507,332,434,48,65,0.0741119719339278
중구약수동,734,944,681,856,44,75,0.12136796091540242
중구청구동,601,769,542,683,39,64,0.1241724527692556
중구동화동,158,217,146,198,12,19,0.05444054189663823
중구기타,2,114,2,2,-,-,
용산구소계,6691,8882,5585,7078,872,1280,0.08098177408619699
용산구후암동,649,907,552,752,86,140,0.10954106280193236
용산구용산2가동,428,605,348,474,59,105,0.11879049676025918
용산구남영동,1305,1375,1020,1073,245,257,0.2778900565885206
용산구원효로2동,342,457,297,385,34,59,0.07369779067892275
용산구효창동,89,132,78,113,7,9,0.027848101265822784
용산구용문동,339,441,300,379,29,50,0.0830821401657875
용산구이촌1동,48,68,44,60,3,7,0.007429258166721293
용산구이촌2동,122,174,105,146,16,27,0.048360200111172875
용산구이태원1동,201,254,168,214,27,34,0.07315668202764977
용산구이태원2동,199,276,169,226,21,40,0.05719021964359718
용산구서빙고동,230,326,196,267,27,50,0.06389651117208937
용산구보광동,781,1086,654,881,99,174,0.15581061692969872
용산구청파동,862,1136,723,939,97,151,0.10201149425287356
용산구원효로1동,299,388,248,321,37,52,0.0415996569100461
용산구한강로동,330,410,291,356,32,46,0.03617115130127922
용산구한남동,466,595,391,491,53,79,0.058390578999018644
용산구기타,1,252,1,1,-,-,
성동구소계,7607,10241,6139,7782,1303,2122,0.07672080548979653
성동구왕십리2동,402,549,334,433,60,106,0.07455187398153178
성동구마장동,574,838,459,614,86,181,0.07669778509976204
성동구사근동,194,258,158,196,30,55,0.031166948538294274
성동구행당1동,320,423,260,337,55,81,0.06543935643564357
성동구행당2동,620,861,522,704,88,146,0.09300064808813999
성동구응봉동,171,230,157,204,12,24,0.038681466532122434
성동구금호1가동,595,772,500,607,80,145,0.11784460387727065
성동구금호4가동,350,442,296,354,52,85,0.0688580775821779
성동구성수1가1동,382,515,306,388,67,116,0.06907188841201717
성동구성수1가2동,206,268,171,219,34,48,0.044801069876295556
성동구성수2가1동,640,818,515,627,120,185,0.10565745285455955
성동구성수2가3동,214,250,154,178,57,69,0.047160913035276364
성동구송정동,566,736,427,548,129,178,0.13571823713811543
성동구용답동,728,918,533,649,172,246,0.12205823693657758
성동구왕십리도선동,717,921,597,729,107,177,0.07534358638743456
성동구금호2.3가동,546,769,429,565,110,192,0.07781825541388383
성동구옥수동,375,532,314,423,44,88,0.049502186656741415
성동구기타,7,141,7,7,-,-,
광진구소계,9659,13261,8300,11029,1261,2030,0.07807155430744685
광진구화양동,616,730,561,660,52,65,0.0400087690452702
광진구군자동,714,921,644,825,64,87,0.08088170720997628
광진구중곡1동,700,989,591,815,101,162,0.11450735208984601
광진구중곡2동,649,935,549,764,94,164,0.08766172885805362
광진구중곡3동,833,1204,730,1026,99,173,0.1407035175879397
광진구중곡4동,1085,1534,909,1228,159,282,0.11695638914303141
광진구능동,274,383,224,299,47,78,0.05927874941959449
광진구구의1동,706,976,615,826,88,146,0.07410782080485953
광진구구의2동,776,1132,655,945,117,183,0.09831509466736148
광진구구의3동,401,553,335,449,65,102,0.04576299238662695
광진구광장동,202,271,185,246,12,18,0.022907861369399832
광진구자양1동,941,1294,796,1061,127,212,0.10717243664071559
광진구자양2동,633,883,528,699,100,177,0.08148011442281074
광진구자양3동,280,381,240,331,37,47,0.03462062698773285
광진구자양4동,848,1001,737,854,99,134,0.09743989097634576
광진구기타,1,74,1,1,-,-,
동대문구소계,12527,16190,10877,13658,1196,1800,0.09429072293436923
동대문구회기동,288,364,256,323,26,31,0.054198927933293624
동대문구휘경1동,302,386,258,325,39,55,0.049512570548999484
동대문구휘경2동,527,703,466,610,44,75,0.05501212927459113
동대문구청량리동,1481,1741,1315,1521,123,170,0.17259839397243978
동대문구용신동,1442,1680,1244,1425,157,202,0.07990867579908675
동대문구제기동,1307,1577,1138,1350,120,165,0.11729267385645221
동대문구전농1동,1479,1837,1262,1526,140,213,0.12393739036567265
동대문구전농2동,593,805,513,681,46,78,0.10627062706270628
동대문구답십리2동,1006,1313,900,1149,66,114,0.10491410307630843
동대문구장안1동,1170,1620,1021,1398,119,187,0.08808656408025664
동대문구장안2동,956,1366,809,1140,120,190,0.09573871600784974
동대문구이문1동,575,743,489,629,66,93,0.06925156118930002
동대문구이문2동,726,1009,643,868,48,96,0.11613720073664825
동대문구답십리1동,656,866,549,701,77,131,0.06729872552067143
동대문구기타,19,180,14,12,5,-,
중랑구소계,19240,27154,17123,23100,1933,3259,0.14445076896069284
중랑구면목2동,1300,1715,1168,1510,118,188,0.14012582727347006
중랑구면목4동,1282,1807,1132,1533,140,263,0.2019897160742231
중랑구면목5동,535,813,474,707,56,99,0.1262618419009163
중랑구면목7동,902,1137,790,978,105,152,0.10716305372290293
중랑구상봉1동,1165,1714,1019,1434,137,266,0.16925051841611533
중랑구상봉2동,873,1103,769,972,89,114,0.08910971077718532
중랑구중화1동,762,1105,656,911,99,186,0.12329837089935282
중랑구중화2동,1932,2511,1680,2134,240,363,0.18470025744759103
중랑구묵1동,873,1265,780,1110,86,147,0.0845305713331106
중랑구묵2동,829,1100,726,942,97,148,0.11867515373826734
중랑구망우3동,1411,1921,1239,1646,142,240,0.23355623100303952
중랑구신내1동,1258,2097,1164,1892,86,194,0.14017379679144384
중랑구신내2동,1049,1440,979,1299,64,132,0.16096579476861167
중랑구면목본동,1891,2540,1713,2266,158,251,0.14297776526878694
중랑구면목3.8동,1438,1970,1276,1717,143,232,0.1534746026799626
중랑구망우본동,1739,2343,1557,2048,173,284,0.13223093854054968
중랑구기타,1,573,1,1,-,-,
성북구소계,11964,16740,9744,12581,1986,3496,0.08461767872578109
성북구돈암1동,463,621,392,507,63,106,0.10247524752475247
성북구돈암2동,279,372,238,303,33,58,0.043615898698557864
성북구안암동,359,482,296,373,53,97,0.048672119559729374
성북구보문동,380,486,318,396,54,82,0.05959534028203556
성북구정릉1동,315,423,260,324,53,97,0.05762942779291553
성북구정릉2동,525,758,425,575,94,177,0.07612734759465703
성북구정릉3동,569,755,483,606,77,140,0.09127176015473888
성북구정릉4동,617,850,527,685,84,159,0.07873286402371249
성북구길음1동,454,592,384,483,51,88,0.047523480773862085
성북구길음2동,400,516,339,414,53,92,0.05887050770108385
성북구월곡1동,764,1018,599,748,142,242,0.09397212221914521
성북구월곡2동,606,748,510,618,85,118,0.07689144736842106
성북구장위1동,1245,2013,924,1383,303,609,0.18848314606741573
성북구장위2동,754,1076,599,794,140,260,0.1623415811707906
성북구장위3동,395,593,331,471,55,111,0.09089515634580013
성북구성북동,305,416,252,322,50,89,0.051055473735886106
성북구삼선동,674,865,563,698,94,148,0.07507377191459816
성북구동선동,380,458,296,361,74,89,0.04765373010092602
성북구종암동,1081,1401,872,1056,186,323,0.08164335664335665
성북구석관동,1388,1886,1126,1454,241,410,0.11250969396885999
성북구기타,11,411,10,10,1,1,
강북구소계,15882,21917,13213,17379,2267,3750,0.1517303924622872
강북구번1동,989,1223,827,1013,144,187,0.11775466974773734
강북구번2동,1299,1886,1045,1429,206,384,0.25257800991027185
강북구번3동,1915,2857,1648,2329,209,442,0.3738060970822975
강북구수유1동,1123,1536,939,1240,159,265,0.14692940501243543
강북구수유2동,984,1372,830,1115,133,230,0.1391198539849929
강북구수유3동,1334,1718,1094,1392,229,312,0.12752375296912113
강북구삼양동,1251,1735,984,1312,223,369,0.15910132966529114
강북구미아동,1037,1280,857,1038,150,205,0.10936431989063568
강북구송중동,1171,1503,977,1224,156,228,0.10768018340736495
강북구송천동,1480,1887,1262,1568,195,288,0.1427922814982974
강북구삼각산동,1015,1319,869,1092,121,199,0.11438730378978407
강북구우이동,827,1220,691,972,120,230,0.12721584984358708
강북구인수동,1454,2118,1187,1653,222,411,0.1485273492286115
강북구기타,3,263,3,2,-,-,
도봉구소계,10867,15373,9228,12363,1532,2599,0.11124699684487799
