시군구,apt_buy,mth_buy,apt_rent,mth_rent
강남구개포동,2003.4789915966387,2006.4383561643835,2005.1657478868062,2007.6904231625836
강남구논현동,1999.767857142857,2006.775,2002.8935185185185,2009.609841827768
강남구대치동,1990.513043478261,2001.8,1992.9785,2005.9281609195402
강남구도곡동,2001.1423357664235,2010.3076923076924,1998.4988946204865,2005.9615384615386
강남구삼성동,2005.563829787234,2004.3658536585365,2003.7550471063257,2002.778350515464
강남구세곡동,2011.7948717948718,2016.0,2011.5714285714287,2016.2727272727273
강남구수서동,1995.483870967742,,1995.7806652806653,
강남구신사동,1999.1764705882354,1995.857142857143,2000.4705882352941,1997.0405405405406
강남구압구정동,1980.8796296296296,,1979.9804526748972,
강남구역삼동,2005.5652173913043,2010.1306532663316,2007.2150943396227,2010.2363367799114
강남구율현동,2015.0,,2015.0,2021.6666666666667
강남구일원동,1999.231884057971,2013.0,2001.0982986767485,2009.373040752351
강남구자곡동,2014.142857142857,2013.0,2014.2924731182795,2014.0
강남구청담동,2002.4305555555557,1989.7916666666667,2001.57399103139,2003.8130841121495
강동구강일동,2012.9545454545455,,2015.4771182600816,
강동구고덕동,2016.7080291970804,2017.3818181818183,2014.8539107950874,2011.4507772020725
강동구길동,2002.0128205128206,2009.3636363636363,2002.9743119266054,2011.1396648044692
강동구둔촌동,2005.7089552238806,2013.3877551020407,2003.9954853273139,2013.2889733840304
강동구명일동,1998.1148936170214,2011.952380952381,1995.068091844814,2011.3148148148148
강동구상일동,2018.7708333333333,2016.2307692307693,2016.1403872752421,2003.530612244898
강동구성내동,2005.6507936507937,2008.3284671532847,2006.0982658959538,2011.4125874125873
강동구암사동,2005.1761006289307,2014.1914893617022,2004.2544031311154,2012.17004048583
강동구천호동,2007.7616279069769,2015.4708333333333,2006.8848413631022,2013.4987932421561
강북구미아동,2009.909090909091,2006.9440789473683,2007.14375,2001.8398791540785
강북구번동,2008.6315789473683,2001.669642857143,1997.381443298969,1996.6525821596244
강북구수유동,2012.544217687075,2006.5530546623795,2006.098712446352,2006.0861372812922
강북구우이동,1996.4444444444443,2002.8265306122448,1996.1176470588234,2003.8666666666666
강서구가양동,1994.1722222222222,2013.2222222222222,1994.6700473292765,2013.6117647058823
강서구공항동,2003.0,2013.2956521739131,2006.5,2013.1528150134047
강서구내발산동,2006.5722222222223,2009.3039215686274,2006.6455823293172,2009.2938005390836
강서구등촌동,1997.688796680498,2010.1409395973155,1999.2010582010582,2011.150974025974
강서구마곡동,2013.4605263157894,2002.7142857142858,2014.8958560523447,2003.047619047619
강서구방화동,2000.0714285714287,2012.179487179487,1998.286896551724,2012.1377870563674
강서구염창동,2000.7731958762886,2008.7083333333333,2001.537906137184,2014.3647798742138
강서구화곡동,2009.1576354679803,2008.2352092352091,2010.0211311373523,2009.13404625715
관악구남현동,2006.8333333333333,2008.9166666666667,2008.0,2010.4943820224719
관악구봉천동,2004.9083191850593,2000.4060324825987,2003.4207699194271,2006.2024326672458
관악구신림동,2008.3426573426573,2008.8173228346457,2003.7779552715656,2006.886703383163
광진구광장동,1995.1489361702127,2007.4782608695652,1994.2918719211823,2000.9634146341464
광진구구의동,2001.7714285714285,2009.0246913580247,2004.8435462842242,2010.3549738219895
광진구군자동,2003.6363636363637,2010.8529411764705,2001.264705882353,2012.7
광진구자양동,2000.9336734693877,2008.8286713286714,1999.8825722273998,2012.6943005181347
광진구중곡동,2000.6666666666667,2011.8563049853371,1997.5479452054794,2012.9128440366972
광진구화양동,2018.4415584415585,2007.5806451612902,2013.6777777777777,2013.3073170731707
구로구가리봉동,1998.0,2008.4516129032259,1998.0,2010.765306122449
구로구개봉동,2001.212,2010.1288515406163,2000.6779279279278,2007.500894454383
구로구고척동,2000.04,2010.4603174603174,1999.1858267716536,2008.6933333333334
구로구구로동,2000.5352697095436,2014.093117408907,1995.7869762746088,2005.4623955431755
구로구신도림동,2000.94,2020.0,1999.9115479115478,1991.888888888889
구로구오류동,2004.7,2013.2142857142858,2001.236593059937,2000.7612456747404
구로구온수동,2009.090909090909,1996.703125,2009.8395061728395,1997.9310344827586
구로구천왕동,2012.090909090909,2012.5,2011.42118226601,2012.5
구로구항동,2018.1739130434783,2000.0,2017.4391891891892,1990.2068965517242
금천구가산동,2007.1707317073171,2009.060606060606,2009.5514018691588,2016.4195402298851
금천구독산동,2014.0268656716419,2011.6550802139038,2008.3713670613563,2012.9954058192955
금천구시흥동,2002.784140969163,2010.8932291666667,1999.1148148148147,2008.8911917098446
노원구공릉동,2002.8026315789473,2002.080357142857,1999.41796875,2006.140350877193
노원구상계동,1992.6670506912442,2005.657458563536,1992.1147380766224,2003.4444444444443
노원구월계동,1995.707736389685,1999.7954545454545,1996.3292618162507,2005.2368421052631
노원구중계동,1993.4729241877255,2000.5555555555557,1993.9651293588302,2002.6179775280898
노원구하계동,1990.6596858638743,1999.909090909091,1991.180926916221,1999.4516129032259
도봉구도봉동,1995.483695652174,2005.504716981132,1995.8081632653061,2004.34375
도봉구방학동,1995.4522613065326,2000.0218579234972,1994.8652373660032,2003.6198347107438
도봉구쌍문동,1992.1488095238096,2007.7366771159875,1993.0317679558011,2004.2009345794393
도봉구창동,1993.8225806451612,2006.2184466019417,1993.6510560146924,2003.7659574468084
동대문구답십리동,2010.431718061674,2012.15,2010.1930215293244,2018.4170854271356
