,robbery,sexual,murder,crime
강서구가양1동,3,5,4,0.82
강서구가양2동,3,5,4,0.82
강서구가양3동,3,5,4,0.82
강서구공항동,4,4,5,0.9
강서구등촌1동,2,4,1,0.42000000000000004
강서구등촌2동,1,2,2,0.36
강서구등촌3동,3,5,4,0.82
강서구발산1동,1,3,4,0.6199999999999999
강서구방화1동,4,4,5,0.9
강서구방화2동,1,2,1,0.26
강서구방화3동,4,4,5,0.9
강서구염창동,2,4,1,0.42000000000000004
강서구우장산동,1,3,4,0.6199999999999999
강서구화곡1동,4,4,3,0.7
강서구화곡2동,2,4,3,0.62
강서구화곡3동,1,2,3,0.45999999999999996
강서구화곡4동,2,4,3,0.62
강서구화곡6동,5,5,4,0.9
강서구화곡8동,2,4,3,0.62
강서구화곡본동,5,5,4,0.9
양천구목1동,4,4,3,0.7
양천구목2동,2,4,1,0.42000000000000004
양천구목3동,2,4,1,0.42000000000000004
양천구목4동,2,4,1,0.42000000000000004
양천구목5동,4,4,3,0.7
양천구신월1동,2,4,4,0.72
양천구신월2동,4,4,3,0.7
양천구신월3동,2,4,4,0.72
양천구신월4동,4,4,3,0.7
양천구신월5동,3,2,1,0.34
양천구신월6동,4,4,3,0.7
양천구신월7동,4,4,3,0.7
양천구신정1동,2,3,1,0.36
양천구신정2동,5,5,3,0.8
양천구신정3동,1,3,2,0.41999999999999993
양천구신정4동,5,5,3,0.8
양천구신정6동,2,3,1,0.36
양천구신정7동,2,3,1,0.36
구로구가리봉동,3,2,5,0.74
구로구개봉1동,1,2,3,0.45999999999999996
구로구개봉2동,2,3,2,0.45999999999999996
구로구개봉3동,2,3,2,0.45999999999999996
구로구고척1동,1,2,3,0.45999999999999996
구로구고척2동,1,2,3,0.45999999999999996
구로구구로1동,5,3,4,0.78
구로구구로2동,5,3,4,0.78
구로구구로3동,1,5,2,0.54
구로구구로4동,5,3,4,0.78
구로구구로5동,4,5,4,0.86
구로구수궁동,4,4,3,0.7
구로구신도림동,4,5,4,0.86
구로구오류1동,4,4,3,0.7
구로구오류2동,1,2,1,0.26
구로구항동,1,2,1,0.26
영등포구당산1동,3,5,5,0.9199999999999999
영등포구당산2동,3,1,1,0.28
영등포구대림1동,4,4,5,0.9
영등포구대림2동,4,4,5,0.9
영등포구대림3동,2,2,5,0.7
영등포구도림동,4,4,4,0.8
영등포구문래동,1,4,3,0.58
영등포구신길1동,3,4,4,0.76
영등포구신길3동,2,3,3,0.5599999999999999
영등포구신길4동,3,4,4,0.76
영등포구신길5동,2,3,3,0.5599999999999999
영등포구신길6동,2,3,3,0.5599999999999999
영등포구신길7동,2,3,3,0.5599999999999999
영등포구양평1동,3,5,5,0.9199999999999999
영등포구양평2동,3,1,1,0.28
영등포구여의동,2,5,2,0.58
영등포구영등포동,5,5,5,1.0
영등포구영등포본동,4,4,4,0.8
동작구노량진1동,4,4,2,0.6
동작구노량진2동,4,4,2,0.6
동작구대방동,1,1,3,0.4
동작구사당1동,5,5,4,0.9
동작구사당2동,3,4,1,0.45999999999999996
동작구사당3동,3,4,1,0.45999999999999996
동작구사당4동,5,5,4,0.9
동작구사당5동,5,5,4,0.9
동작구상도1동,4,3,4,0.74
동작구상도2동,4,3,4,0.74
동작구상도3동,1,1,3,0.4
동작구상도4동,4,3,4,0.74
동작구신대방1동,5,2,4,0.72
동작구신대방2동,5,2,4,0.72
동작구흑석동,2,2,1,0.3
금천구가산동,1,4,2,0.48
금천구독산1동,2,1,1,0.24
금천구독산2동,3,2,2,0.44000000000000006
금천구독산3동,4,3,2,0.54
금천구독산4동,4,4,2,0.6
금천구시흥1동,2,3,1,0.36
금천구시흥2동,3,2,2,0.44000000000000006
금천구시흥3동,2,3,1,0.36
금천구시흥4동,3,2,2,0.44000000000000006
금천구시흥5동,3,2,2,0.44000000000000006
관악구낙성대동,1,5,5,0.8400000000000001
관악구난곡동,2,3,4,0.6599999999999999
관악구난향동,2,3,4,0.6599999999999999
관악구남현동,2,3,1,0.36
관악구대학동,4,5,3,0.76
관악구미성동,3,2,4,0.64
관악구보라매동,5,5,3,0.8
관악구삼성동,4,5,3,0.76
관악구서림동,4,5,3,0.76
관악구서원동,4,5,3,0.76
관악구성현동,3,4,1,0.45999999999999996
관악구신림동,5,5,3,0.8
관악구신사동,3,2,2,0.44000000000000006
관악구신원동,4,5,3,0.76
관악구은천동,5,5,3,0.8
관악구인헌동,1,5,5,0.8400000000000001
관악구조원동,4,4,2,0.6
관악구중앙동,3,4,1,0.45999999999999996
관악구청룡동,4,5,3,0.76
관악구청림동,3,4,1,0.45999999999999996
관악구행운동,1,5,5,0.8400000000000001
서초구내곡동,1,1,1,0.2
서초구반포1동,5,5,3,0.8
서초구반포2동,5,5,3,0.8
서초구반포3동,5,5,3,0.8
서초구반포4동,5,5,3,0.8
서초구반포본동,1,3,1,0.31999999999999995
서초구방배1동,3,1,2,0.38
서초구방배2동,2,4,2,0.52
서초구방배3동,2,4,2,0.52
서초구방배4동,3,1,2,0.38
서초구방배본동,3,1,2,0.38
서초구서초1동,3,3,3,0.6
서초구서초2동,4,5,4,0.86
서초구서초3동,2,4,3,0.62
서초구서초4동,4,5,4,0.86
서초구양재1동,3,3,2,0.5
서초구양재2동,2,2,2,0.4
서초구잠원동,5,5,3,0.8
강남구개포1동,2,2,2,0.4
강남구개포2동,2,2,2,0.4
강남구개포3동,1,2,1,0.26
강남구개포4동,2,2,2,0.4
강남구논현1동,5,4,3,0.74
강남구논현2동,3,4,2,0.5599999999999999
강남구대치1동,3,5,3,0.72
강남구대치2동,3,5,3,0.72
강남구대치4동,3,5,3,0.72
강남구도곡1동,4,5,4,0.86
강남구도곡2동,4,5,4,0.86
강남구삼성1동,3,3,1,0.4
강남구삼성2동,4,3,2,0.54
강남구세곡동,2,1,2,0.33999999999999997
강남구수서동,1,3,2,0.41999999999999993
강남구신사동,5,5,4,0.9
강남구압구정동,2,3,2,0.45999999999999996
강남구역삼1동,5,5,4,0.9
강남구역삼2동,4,5,4,0.86
강남구일원1동,1,4,1,0.38
강남구일원본동,1,3,1,0.31999999999999995
강남구청담동,4,3,2,0.54
송파구가락1동,4,4,3,0.7
송파구가락2동,4,4,3,0.7
송파구가락본동,4,4,3,0.7
송파구거여1동,3,2,2,0.44000000000000006
송파구거여2동,3,3,2,0.5
송파구마천1동,1,3,3,0.5199999999999999
송파구마천2동,1,3,3,0.5199999999999999
송파구문정1동,1,4,2,0.48
송파구문정2동,1,4,2,0.48
송파구방이1동,4,5,4,0.86
송파구방이2동,4,5,4,0.86
송파구삼전동,3,4,3,0.6599999999999999
송파구석촌동,3,4,3,0.6599999999999999
송파구송파1동,4,5,4,0.86
송파구송파2동,4,5,4,0.86
송파구오금동,1,2,1,0.26
송파구오륜동,4,5,4,0.86
송파구위례동,1,4,2,0.48
송파구잠실2동,5,5,4,0.9
송파구잠실3동,5,5,4,0.9
송파구잠실4동,3,3,1,0.4
송파구잠실6동,3,3,1,0.4
송파구잠실7동,5,5,4,0.9
송파구잠실본동,5,5,4,0.9
송파구장지동,1,4,2,0.48
송파구풍납1동,2,2,3,0.5
송파구풍납2동,2,2,3,0.5
강동구강일동,2,3,1,0.36
강동구고덕1동,1,1,1,0.2
강동구고덕2동,1,1,1,0.2
강동구길동,4,4,2,0.6
강동구둔촌1동,1,2,3,0.45999999999999996
강동구둔촌2동,1,2,3,0.45999999999999996
강동구명일1동,3,3,3,0.6
강동구명일2동,3,3,3,0.6
강동구상일1동,2,3,1,0.36
강동구상일2동,2,3,1,0.36
강동구성내1동,4,4,4,0.8
강동구성내2동,4,4,4,0.8
강동구성내3동,4,4,4,0.8
강동구암사1동,4,4,2,0.6
강동구암사2동,4,4,2,0.6
강동구암사3동,4,4,2,0.6
강동구천호1동,4,4,2,0.6
강동구천호2동,5,5,4,0.9
강동구천호3동,5,5,4,0.9
마포구공덕동,2,4,2,0.52
마포구대흥동,4,5,2,0.6599999999999999
마포구도화동,1,4,2,0.48
마포구망원1동,3,3,1,0.4
마포구망원2동,3,3,1,0.4
마포구상암동,1,3,1,0.31999999999999995
마포구서강동,4,5,2,0.6599999999999999
마포구서교동,5,5,4,0.9
마포구성산1동,3,3,3,0.6
마포구성산2동,3,3,3,0.6
마포구신수동,4,5,2,0.6599999999999999
마포구아현동,2,4,2,0.52
마포구연남동,2,2,2,0.4
마포구염리동,1,4,2,0.48
마포구용강동,1,4,2,0.48
마포구합정동,5,5,3,0.8
서대문구남가좌1동,1,3,4,0.6199999999999999
서대문구남가좌2동,1,3,4,0.6199999999999999
서대문구북가좌1동,1,2,5,0.6599999999999999
서대문구북가좌2동,1,2,5,0.6599999999999999
서대문구북아현동,4,4,5,0.9
서대문구신촌동,3,5,2,0.62
서대문구연희동,3,3,1,0.4
서대문구천연동,4,4,5,0.9
서대문구충현동,4,4,5,0.9
서대문구홍은1동,2,2,1,0.3
서대문구홍은2동,1,1,3,0.4
