,population,density,foreign_rate,bsc_lvlhood_ratio,ave_income_amt,label
종로구사직동,9362.0,2.0,0.0291604358043153,0.0273522975929978,6334.0325,1
종로구삼청동,2576.0,2.0,0.1160714285714285,0.0399290150842945,5499.561428571428,0
종로구부암동,9377.0,2.0,0.0282606377306174,0.0421511627906976,5256.25,1
종로구평창동,17658.0,2.0,0.0103069430286555,0.0199750312109862,8318.69,0
종로구무악동,8015.0,3.0,0.0038677479725514,0.06843853820598,4367.37,1
종로구교남동,9916.0,2.0,0.0168414683340056,0.0491428571428571,5030.56,1
종로구가회동,4031.0,2.0,0.0300173654180104,0.0398138572905894,5812.8675,0
종로구종로1.2.3.4가동,8582.0,1.0,0.2192962013516662,0.1590449210845811,5719.91551724138,0
종로구종로5.6가동,5921.0,2.0,0.0817429488262117,0.088097210715272,3923.768,1
종로구이화동,7601.0,2.0,0.0782791737929219,0.0674315148677124,3938.353333333334,0
종로구창신1동,5401.0,2.0,0.1499722273653027,0.1866616989567809,3468.01,0
종로구창신2동,8684.0,2.0,0.127360663288807,0.1228728728728728,3468.01,0
종로구창신3동,6574.0,2.0,0.0243383024034073,0.0889769452449567,3468.01,0
종로구숭인1동,6064.0,2.0,0.0517810026385224,0.0995292535305985,3917.41,0
종로구숭인2동,10541.0,1.0,0.0745659804572621,0.0722983257229832,3917.41,0
종로구청운효자동,11700.0,2.0,0.0161538461538461,0.0447615324472243,5918.11,0
종로구혜화동,19346.0,2.0,0.1699576139770495,0.0412863972186006,5352.621666666667,0
중구소공동,3559.0,2.0,0.3798819893228435,0.0391061452513966,6555.4,0
중구회현동,5166.0,2.0,0.13511420828494,0.1822117276662731,7377.964444444444,0
중구명동,3610.0,2.0,0.2545706371191136,0.0647632311977715,9192.548,0
중구필동,4905.0,2.0,0.1891946992864424,0.0418359057676685,4662.44,0
중구장충동,5423.0,2.0,0.1517610178867785,0.0546086956521739,5001.513333333333,0
중구광희동,7113.0,1.0,0.2013215239701954,0.0602597402597402,4007.166,0
중구을지로동,2906.0,1.0,0.088093599449415,0.0776902887139107,4282.371,0
중구신당5동,10438.0,2.0,0.0325732899022801,0.0959264126149802,4103.73,0
중구황학동,13711.0,2.0,0.0657136605645102,0.0720623823608496,3607.53,1
중구중림동,12269.0,2.0,0.0268155513896813,0.1084001394214011,3599.73,1
중구신당동,9007.0,2.0,0.1667591872987676,0.0925925925925925,3788.8466666666664,1
중구다산동,13886.0,2.0,0.0347832349128618,0.0741119719339278,4103.73,1
중구약수동,16512.0,2.0,0.0139292635658914,0.1213679609154024,4103.73,1
중구청구동,13361.0,2.0,0.0184866402215403,0.1241724527692556,4103.73,1
중구동화동,10188.0,3.0,0.0169807616804083,0.0544405418966382,4103.73,1
용산구후암동,16638.0,2.0,0.0294506551268181,0.1095410628019323,4855.74,1
