find,ave_income_amt
강남구개포1동,8492.84
강남구개포2동,9551.994999999999
강남구개포4동,8492.84
강남구논현1동,13078.13
강남구논현2동,13078.13
강남구대치1동,13523.29
강남구대치2동,13523.29
강남구대치4동,13523.29
강남구도곡1동,10121.65
강남구도곡2동,10121.65
강남구삼성1동,14687.22
강남구삼성2동,14687.22
강남구세곡동,10956.943333333335
강남구수서동,13308.37
강남구신사동,14764.935000000001
강남구압구정동,14764.935000000001
강남구역삼1동,14566.28
강남구역삼2동,14566.28
강남구일원1동,11959.76
강남구일원2동,10875.76
강남구일원본동,11959.76
강남구청담동,14058.2
강동구강일동,5334.875
강동구고덕1동,7281.59
강동구고덕2동,7281.59
강동구길동,6449.34
강동구둔촌1동,5761.6
강동구둔촌2동,5761.6
강동구명일1동,6783.31
강동구명일2동,6783.31
강동구상일동,6160.86
강동구성내1동,6010.61
강동구성내2동,6010.61
강동구성내3동,6010.61
강동구암사1동,6043.68
강동구암사2동,6043.68
강동구암사3동,6043.68
강동구천호1동,5327.28
강동구천호2동,5327.28
강동구천호3동,5327.28
강북구미아동,3467.21
강북구번1동,3640.1
강북구번2동,3640.1
강북구번3동,3640.1
강북구삼각산동,3467.21
강북구삼양동,3467.21
강북구송중동,3467.21
강북구송천동,3467.21
강북구수유1동,3657.81
강북구수유2동,3657.81
강북구수유3동,3657.81
강북구우이동,3668.815
강북구인수동,3657.81
강서구가양1동,5697.585
강서구가양2동,5241.12
강서구가양3동,5241.12
강서구공항동,4350.4766666666665
강서구등촌1동,5654.74
강서구등촌2동,5654.74
강서구등촌3동,5654.74
강서구발산1동,5972.693333333334
강서구방화1동,5186.150000000001
강서구방화2동,5123.665
강서구방화3동,4573.18
강서구염창동,5247.045
강서구우장산동,5000.365
강서구화곡1동,4585.7
강서구화곡2동,4585.7
강서구화곡3동,4585.7
강서구화곡4동,4585.7
강서구화곡6동,4585.7
강서구화곡8동,4585.7
강서구화곡본동,4585.7
경기도양주시남면,2024.915
관악구낙성대동,4913.29
관악구난곡동,5017.06
관악구난향동,5017.06
관악구남현동,6846.29
관악구대학동,5017.06
관악구미성동,5017.06
관악구보라매동,4913.29
관악구삼성동,5017.06
관악구서림동,5017.06
관악구서원동,5017.06
관악구성현동,4913.29
관악구신림동,5017.06
관악구신사동,5017.06
관악구신원동,5017.06
관악구은천동,4913.29
관악구인헌동,4913.29
관악구조원동,5017.06
관악구중앙동,4913.29
관악구청룡동,4913.29
관악구청림동,4913.29
관악구행운동,4913.29
광진구광장동,5997.21
광진구구의1동,6037.69
광진구구의2동,6037.69
광진구구의3동,6037.69
광진구군자동,5455.82
광진구능동,6992.71
광진구자양1동,5425.21
광진구자양2동,5425.21
광진구자양3동,5425.21
광진구자양4동,5425.21
광진구중곡1동,5054.02
광진구중곡2동,5054.02
광진구중곡3동,5054.02
광진구중곡4동,5054.02
광진구화양동,6177.5
구로구가리봉동,4498.31
구로구개봉1동,4331.64
구로구개봉2동,4331.64
구로구개봉3동,4331.64
구로구고척1동,4061.91
구로구고척2동,4061.91
구로구구로1동,3716.19
구로구구로2동,3716.19
구로구구로3동,3716.19
구로구구로4동,3716.19
구로구구로5동,3716.19
구로구수궁동,4177.055
구로구신도림동,4030.19
구로구오류1동,3740.72
구로구오류2동,3692.225
구로구항동,4215.71
금천구가산동,4121.77
금천구독산1동,4384.74
금천구독산2동,4384.74
금천구독산3동,4384.74
금천구독산4동,4384.74
금천구시흥1동,4085.31
금천구시흥2동,4085.31
금천구시흥3동,4085.31
금천구시흥4동,4085.31
금천구시흥5동,4085.31
노원구공릉1동,4722.2
노원구공릉2동,4722.2
노원구상계10동,3676.98
노원구상계1동,3676.98
노원구상계2동,3676.98
노원구상계3·4동,3676.98
노원구상계5동,3676.98
노원구상계6·7동,3676.98
노원구상계8동,3676.98
노원구상계9동,3676.98
노원구월계1동,3981.4
노원구월계2동,3981.4
노원구월계3동,3981.4
노원구중계1동,3321.14
노원구중계2·3동,3321.14
노원구중계4동,3321.14
노원구중계본동,3321.14
노원구하계1동,4133.37
노원구하계2동,4133.37
도봉구도봉1동,3597.97
도봉구도봉2동,3597.97
도봉구방학1동,3824.87
도봉구방학2동,3824.87
도봉구방학3동,3824.87
도봉구쌍문1동,3714.43
도봉구쌍문2동,3714.43
도봉구쌍문3동,3714.43
도봉구쌍문4동,3714.43
도봉구창1동,3733.22
도봉구창2동,3733.22
도봉구창3동,3733.22
도봉구창4동,3733.22
도봉구창5동,3733.22
동대문구답십리1동,3673.98
동대문구답십리2동,3673.98
동대문구용신동,3358.375
동대문구이문1동,3796.7
동대문구이문2동,3796.7
동대문구장안1동,3908.2
동대문구장안2동,3908.2
동대문구전농1동,3700.46
동대문구전농2동,3700.46
동대문구제기동,3409.0
동대문구청량리동,3244.28
동대문구회기동,4522.99
동대문구휘경1동,4105.24
동대문구휘경2동,4105.24
동작구노량진1동,5256.3
동작구노량진2동,6067.18
동작구대방동,5745.48
동작구사당1동,5417.95
동작구사당2동,5388.88
동작구사당3동,5417.95
동작구사당4동,5417.95
동작구사당5동,5417.95
동작구상도1동,5313.5
동작구상도2동,5000.16
동작구상도3동,5000.16
동작구상도4동,5000.16
동작구신대방1동,5184.02
동작구신대방2동,5184.02
동작구흑석동,5409.45
마포구공덕동,4406.8925
마포구대흥동,4978.400000000001
마포구도화동,5109.549999999999
마포구망원1동,5566.86
마포구망원2동,5566.86
마포구상암동,5763.97
마포구서강동,5632.798
마포구서교동,7491.509999999999
마포구성산1동,5903.98
마포구성산2동,5616.92
마포구신수동,5214.954
마포구아현동,4621.3133333333335
마포구연남동,7419.95
마포구염리동,4519.12
마포구용강동,5032.53
마포구합정동,7448.79
서대문구남가좌1동,3944.75
