,density
소계소계,15974
종로구소계,6365
종로구사직동,7606
종로구삼청동,1773
종로구부암동,4201
종로구평창동,2013
종로구무악동,22367
종로구교남동,28554
종로구가회동,7528
종로구종로1.2.3.4가동,3702
종로구종로5.6가동,9695
종로구이화동,9783
종로구창신1동,17365
종로구창신2동,33831
종로구창신3동,28722
종로구숭인1동,26335
종로구숭인2동,30026
종로구청운효자동,4598
종로구혜화동,17314
중구소계,13131
중구소공동,3766
중구회현동,6217
중구명동,3675
중구필동,4225
중구장충동,3916
중구광희동,9030
중구을지로동,3187
중구신당5동,26956
중구황학동,40785
중구중림동,25704
중구신당동,16522
중구다산동,27361
중구약수동,34604
중구청구동,39562
중구동화동,39227
용산구소계,10668
용산구후암동,19549
용산구용산2가동,5272
용산구남영동,6346
용산구원효로2동,19430
용산구효창동,24745
용산구용문동,41657
용산구이촌1동,8988
용산구이촌2동,6634
용산구이태원1동,13942
용산구이태원2동,12124
용산구서빙고동,4806
용산구보광동,19803
용산구청파동,22037
용산구원효로1동,30125
용산구한강로동,7892
용산구한남동,7327
성동구소계,17136
성동구왕십리2동,40702
성동구마장동,21625
성동구사근동,12802
성동구행당1동,23722
성동구행당2동,55114
성동구응봉동,26491
성동구금호1가동,32907
성동구금호4가동,16938
성동구성수1가1동,8328
성동구성수1가2동,13845
성동구성수2가1동,13432
성동구성수2가3동,10214
성동구송정동,13952
성동구용답동,5433
성동구왕십리도선동,37365
성동구금호2.3가동,35036
성동구옥수동,13321
광진구소계,20586
광진구화양동,23347
광진구군자동,29086
광진구중곡1동,25263
광진구중곡2동,38793
광진구중곡3동,26962
광진구중곡4동,12244
광진구능동,10510
광진구구의1동,42945
광진구구의2동,19117
광진구구의3동,27882
광진구광장동,14377
광진구자양1동,39840
광진구자양2동,14436
광진구자양3동,23215
광진구자양4동,18328
동대문구소계,24873
동대문구회기동,17811
동대문구휘경1동,25935
동대문구휘경2동,23491
동대문구청량리동,15912
동대문구용신동,22445
동대문구제기동,22444
동대문구전농1동,24555
동대문구전농2동,21662
동대문구답십리2동,33006
동대문구장안1동,30942
동대문구장안2동,29986
동대문구이문1동,20544
동대문구이문2동,29251
동대문구답십리1동,35222
중랑구소계,21092
중랑구면목2동,31436
중랑구면목4동,21547
중랑구면목5동,21194
중랑구면목7동,18165
중랑구상봉1동,26948
중랑구상봉2동,31711
