0,사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,건설세대총수,60미만건설세대수,60이상85이하건설세대수,85초과건설세대수,건축계획비고,위치도,조감도,배치도,법정동변경,행정법정,0
강남구개포1동,11680-900000942,강남구,개포동,재건축,추진위원회,개포우성6차아파트 재건축사업,개포동 658-1,조합설립추진위원회승인,운영,개포우성6차아파트 재건축사업,강남구 개포동 658-1,20831.5,63966.3,제2종일반주거지역,-,18482.1,139.0,0.0,847.0,1363.4,0.0,0.0,공동주택 및 부대복리시설,60.0,230.0,78.0,25.0,,395.0,120.0,226.0,49.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241642211682322141842.jpg,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241648241682322504637.png,강남구개포동,,강남구개포1동
강남구개포2동,11680-900000942,강남구,개포동,재건축,추진위원회,개포우성6차아파트 재건축사업,개포동 658-1,조합설립추진위원회승인,운영,개포우성6차아파트 재건축사업,강남구 개포동 658-1,20831.5,63966.3,제2종일반주거지역,-,18482.1,139.0,0.0,847.0,1363.4,0.0,0.0,공동주택 및 부대복리시설,60.0,230.0,78.0,25.0,,395.0,120.0,226.0,49.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241642211682322141842.jpg,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241648241682322504637.png,강남구개포동,,강남구개포2동
강남구개포3동,11680-900000942,강남구,개포동,재건축,추진위원회,개포우성6차아파트 재건축사업,개포동 658-1,조합설립추진위원회승인,운영,개포우성6차아파트 재건축사업,강남구 개포동 658-1,20831.5,63966.3,제2종일반주거지역,-,18482.1,139.0,0.0,847.0,1363.4,0.0,0.0,공동주택 및 부대복리시설,60.0,230.0,78.0,25.0,,395.0,120.0,226.0,49.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241642211682322141842.jpg,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241648241682322504637.png,강남구개포동,,강남구개포3동
강남구개포4동,11680-900000942,강남구,개포동,재건축,추진위원회,개포우성6차아파트 재건축사업,개포동 658-1,조합설립추진위원회승인,운영,개포우성6차아파트 재건축사업,강남구 개포동 658-1,20831.5,63966.3,제2종일반주거지역,-,18482.1,139.0,0.0,847.0,1363.4,0.0,0.0,공동주택 및 부대복리시설,60.0,230.0,78.0,25.0,,395.0,120.0,226.0,49.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241642211682322141842.jpg,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2023/04/202304241648241682322504637.png,강남구개포동,,강남구개포4동
강남구개포1동,11680-900000688,강남구,개포동,재건축,조합,"개포주공6,7단지아파트 재건축정비사업조합",개포동 185,조합설립인가,운영,개포주공6.7단지아파트 재건축정비구역,강남구 개포동 185,116684.1,309975.23,제3종 일반주거지역    제2종 일반주거지역(7층),,103333.1,3807.6,3572.0,4950.0,0.0,0.0,1021.4,공동주택 및 부대복리시설,50.0,299.98,115.0,35.0,4.0,2548.0,654.0,808.0,1086.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2019/03/201903060800321551826832664.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190853541650326034625.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190854421650326082154.jpg,강남구개포동,,강남구개포1동
강남구개포2동,11680-900000688,강남구,개포동,재건축,조합,"개포주공6,7단지아파트 재건축정비사업조합",개포동 185,조합설립인가,운영,개포주공6.7단지아파트 재건축정비구역,강남구 개포동 185,116684.1,309975.23,제3종 일반주거지역    제2종 일반주거지역(7층),,103333.1,3807.6,3572.0,4950.0,0.0,0.0,1021.4,공동주택 및 부대복리시설,50.0,299.98,115.0,35.0,4.0,2548.0,654.0,808.0,1086.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2019/03/201903060800321551826832664.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190853541650326034625.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190854421650326082154.jpg,강남구개포동,,강남구개포2동
강남구개포3동,11680-900000688,강남구,개포동,재건축,조합,"개포주공6,7단지아파트 재건축정비사업조합",개포동 185,조합설립인가,운영,개포주공6.7단지아파트 재건축정비구역,강남구 개포동 185,116684.1,309975.23,제3종 일반주거지역    제2종 일반주거지역(7층),,103333.1,3807.6,3572.0,4950.0,0.0,0.0,1021.4,공동주택 및 부대복리시설,50.0,299.98,115.0,35.0,4.0,2548.0,654.0,808.0,1086.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2019/03/201903060800321551826832664.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190853541650326034625.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190854421650326082154.jpg,강남구개포동,,강남구개포3동
강남구개포4동,11680-900000688,강남구,개포동,재건축,조합,"개포주공6,7단지아파트 재건축정비사업조합",개포동 185,조합설립인가,운영,개포주공6.7단지아파트 재건축정비구역,강남구 개포동 185,116684.1,309975.23,제3종 일반주거지역    제2종 일반주거지역(7층),,103333.1,3807.6,3572.0,4950.0,0.0,0.0,1021.4,공동주택 및 부대복리시설,50.0,299.98,115.0,35.0,4.0,2548.0,654.0,808.0,1086.0,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2019/03/201903060800321551826832664.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190853541650326034625.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2022/04/202204190854421650326082154.jpg,강남구개포동,,강남구개포4동
강남구개포1동,11680-900000694,강남구,개포동,재건축,조합,개포시영아파트 중심상가 재건축정비사업조합,개포동 656-3,이전고시,운영,개포시영아파트중심상가재건축정비사업,강남구 개포동 656-3,2520.0,11506.1,,,,,,,,,,주택 및 근린생활시설,57.51,199.67,,2.0,1.0,,48.0,,,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2018/07/201807020859301530489570322.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2021/09/202109071120251630981225757.png,https://cleanup.seoul.go.kr/servlet/image/assc/2020/08/202008101450131597038613289.jpg,강남구개포동,,강남구개포1동
강남구개포2동,11680-900000694,강남구,개포동,재건축,조합,개포시영아파트 중심상가 재건축정비사업조합,개포동 656-3,이전고시,운영,개포시영아파트중심상가재건축정비사업,강남구 개포동 656-3,2520.0,11506.1,,,,,,,,,,주택 및 근린생활시설,57.51,199.67,,2.0,1.0,,48.0,,,,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2018/07/201807020859301530489570322.jpg,https://cleanup.seoul.go.kr/servlet/image?url=images/assc/2021/09/202109071120251630981225757.png,https://cleanup.seoul.go.kr/servlet/image/assc/2020/08/202008101450131597038613289.jpg,강남구개포동,,강남구개포2동
