iter	Accuracy	Logloss
0	0.7695167286	0.6523999525
1	0.7695167286	0.6307217687
2	0.8178438662	0.6087814922
3	0.8141263941	0.5915347767
4	0.843866171	0.5699887158
5	0.843866171	0.5511972438
6	0.8587360595	0.5378161119
7	0.8661710037	0.5189139403
8	0.8884758364	0.5021337031
9	0.8884758364	0.4944511291
10	0.8884758364	0.4805838252
11	0.8847583643	0.4698280715
12	0.8959107807	0.455779367
13	0.907063197	0.4469228835
14	0.9107806691	0.4368207006
15	0.9219330855	0.4264685361
16	0.9144981413	0.4168438627
17	0.9144981413	0.4073619011
18	0.9256505576	0.3990577005
19	0.9182156134	0.3917879998
20	0.9330855019	0.3824815738
21	0.9442379182	0.3708556304
22	0.9516728625	0.3658398785
23	0.9591078067	0.3578840518
24	0.9628252788	0.349025092
25	0.9665427509	0.3410958634
26	0.970260223	0.3363200137
27	0.9739776952	0.3280410795
28	0.970260223	0.3234149431
29	0.9665427509	0.3185568163
30	0.9665427509	0.3143718311
31	0.9665427509	0.3104963853
32	0.9665427509	0.3038267114
33	0.970260223	0.2987245234
34	0.970260223	0.2955859302
35	0.9739776952	0.2901967044
36	0.9739776952	0.281500005
37	0.9739776952	0.2768480903
38	0.9739776952	0.2693551333
39	0.970260223	0.2629425234
40	0.9739776952	0.2590970505
41	0.9814126394	0.2514600654
42	0.9851301115	0.2462931227
43	0.9851301115	0.2416922126
44	0.9776951673	0.2382053817
45	0.9814126394	0.2354473979
46	0.9851301115	0.2320367297
47	0.9851301115	0.2278476275
48	0.9851301115	0.2238525645
49	0.9888475836	0.2198549162
50	0.9851301115	0.2158560227
51	0.9851301115	0.213275791
52	0.9851301115	0.2066119443
53	0.9851301115	0.2034374748
54	0.9888475836	0.1994586676
55	0.9888475836	0.1974185245
56	0.9888475836	0.1932610318
57	0.9888475836	0.1913117395
58	0.9851301115	0.1892508337
59	0.9888475836	0.184704619
60	0.9925650558	0.1817223155
61	0.9962825279	0.1779996112
62	0.9962825279	0.1761603076
63	0.9962825279	0.1726838925
64	0.9962825279	0.1686760381
65	0.9962825279	0.1651223858
66	0.9962825279	0.1627399885
67	0.9962825279	0.1606417048
68	0.9962825279	0.1561340067
69	0.9962825279	0.1530988454
70	1	0.1485383763
71	0.9962825279	0.1454761078
72	0.9962825279	0.1441396173
73	0.9962825279	0.1416993474
74	0.9962825279	0.1397921298
75	0.9962825279	0.1368546422
76	0.9962825279	0.1360108689
77	1	0.134065565
78	1	0.1313477988
79	1	0.1285010854
80	1	0.1252037005
81	1	0.1219667218
82	1	0.1215465627
83	1	0.1199053368
84	1	0.1182899454
85	1	0.1164635309
86	1	0.1137500845
87	1	0.1131799912
88	1	0.1109007566
89	1	0.1085635851
90	1	0.1068408286
91	1	0.1055462609
92	1	0.1039704305
93	1	0.1036043205
94	1	0.1021943057
95	1	0.09974983314
96	1	0.09850818863
97	1	0.09770237589
98	1	0.0965193233
99	1	0.09622440373
100	1	0.09446773713
101	1	0.0929626866
102	1	0.09199822546
103	1	0.09052616979
104	1	0.08928109166
105	1	0.08743812633
106	1	0.08589129669
107	1	0.08485430619
108	1	0.08342291945
109	1	0.08078502228
110	1	0.07918280398
111	1	0.07674106175
112	1	0.07564902264
113	1	0.07470898759
114	1	0.07380923346
115	1	0.0723713216
116	1	0.07093564215
117	1	0.06936250342
118	1	0.06854901592
119	1	0.0670275752
120	1	0.06557608928
121	1	0.06437188712
122	1	0.06327640409
123	1	0.06215024573
124	1	0.06125340902
125	1	0.05989495643
126	1	0.05898629947
127	1	0.05839484862
128	1	0.05750433861
129	1	0.0570791659
130	1	0.05672951317
131	1	0.05538969212
132	1	0.05454142516
133	1	0.05406849668
134	1	0.05375608647
135	1	0.05239477128
136	1	0.05185240603
137	1	0.05107766628
138	1	0.05002280337
139	1	0.04906683433
140	1	0.04859719993
141	1	0.04847732229
142	1	0.04770697437
143	1	0.04725248073
144	1	0.0463295563
145	1	0.04591045783
146	1	0.0451737937
147	1	0.04424612704
148	1	0.04368547938
149	1	0.04314270636
150	1	0.04305733435
151	1	0.04274730293
152	1	0.04268461611
153	1	0.04204157136
154	1	0.04117225143
155	1	0.04055074426
156	1	0.04032372326
157	1	0.04014972872
158	1	0.03950258132
159	1	0.03908735954
160	1	0.03864424883
161	1	0.03825798433
162	1	0.03763358435
163	1	0.03709914879
164	1	0.03663036414
165	1	0.03621065439
166	1	0.03579943128
167	1	0.03537829424
168	1	0.03475812171
169	1	0.03447071554
170	1	0.03416976046
171	1	0.0340253504
172	1	0.03390508371
173	1	0.03336308857
174	1	0.03313779272
175	1	0.03254669199
176	1	0.03241058197
177	1	0.03207881443
178	1	0.03203794072
179	1	0.031682092
180	1	0.03141468214
181	1	0.03097011385
182	1	0.03088492884
183	1	0.03053561866
184	1	0.03020012509
185	1	0.0299046432
186	1	0.02941349024
187	1	0.02925354516
188	1	0.02903325353
189	1	0.02859847865
190	1	0.02838197188
191	1	0.02808450792
192	1	0.02787156484
193	1	0.02776141648
194	1	0.02752350844
195	1	0.02728485238
196	1	0.02695794198
197	1	0.02667119264
198	1	0.02626749758
199	1	0.02610306864
200	1	0.02583046454
201	1	0.02549251007
202	1	0.02535313408
203	1	0.025160364
204	1	0.0248686292
205	1	0.02466482928
206	1	0.02444404158
207	1	0.02427129672
208	1	0.02423030563
209	1	0.02401983843
210	1	0.02390728209
211	1	0.02371519106
212	1	0.02353105323
213	1	0.02326454303
214	1	0.02324290156
215	1	0.02312587512
216	1	0.0230994854
217	1	0.02291286282
218	1	0.02280470718
219	1	0.02267080929
220	1	0.02264999148
221	1	0.02241285425
222	1	0.02238929638
223	1	0.02221491826
224	1	0.02205798484
225	1	0.02180985973
226	1	0.0215896781
227	1	0.02143788602
228	1	0.02133518811
229	1	0.02111486595
230	1	0.02097721976
231	1	0.0209224426
232	1	0.02067309816
233	1	0.02063289372
234	1	0.02044391303
235	1	0.02029248843
236	1	0.02008893325
237	1	0.01997581615
238	1	0.01983250418
239	1	0.0197686667
240	1	0.01975364067
241	1	0.0196849565
242	1	0.01966614571
243	1	0.01948181006
244	1	0.01939808215
245	1	0.01926032822
246	1	0.01906960958
247	1	0.0189834707
248	1	0.01879912588
249	1	0.01863444886
250	1	0.01850520983
251	1	0.01838237803
252	1	0.01815899621
253	1	0.01804920967
254	1	0.01803309791
255	1	0.01795196757
256	1	0.01780097975
257	1	0.01778482818
258	1	0.01766528375
259	1	0.0175822675
260	1	0.017414804
261	1	0.01723784563
262	1	0.01707838586
263	1	0.01702233875
264	1	0.01696673393
265	1	0.01689870359
266	1	0.01680267793
267	1	0.01676753922
268	1	0.01670946498
269	1	0.01661908241
270	1	0.01655253323
271	1	0.01644396333
272	1	0.01633226419
273	1	0.0163199945
274	1	0.01623486629
275	1	0.01616994766
276	1	0.01615510502
277	1	0.01606272151
278	1	0.01593927074
279	1	0.01592147479
280	1	0.01588326388
281	1	0.01580524402
282	1	0.01568858986
283	1	0.01566139287
284	1	0.01564816212
285	1	0.01563481641
286	1	0.0155301605
287	1	0.0153980735
288	1	0.01527516708
289	1	0.015124205
290	1	0.01511045659
291	1	0.01499763741
292	1	0.01496328485
293	1	0.01488849565
294	1	0.01484360335
295	1	0.01476145279
296	1	0.0146677537
297	1	0.01458968494
298	1	0.0145812688
299	1	0.0144787426
300	1	0.01444077033
301	1	0.01426857167
302	1	0.01425879258
303	1	0.01410499261
304	1	0.01395274883
305	1	0.01387808237
306	1	0.01378604911
307	1	0.01366173231
308	1	0.01361488229
309	1	0.01357216639
310	1	0.0134739033
311	1	0.01341844668
312	1	0.01332168318
313	1	0.01327273691
314	1	0.01326820654
315	1	0.01314248426
316	1	0.01305556042
317	1	0.01301625393
318	1	0.01290225593
319	1	0.01279473186
320	1	0.0126880396
321	1	0.01265819465
322	1	0.01255883271
323	1	0.01254919609
324	1	0.01245103033
325	1	0.01239403225
326	1	0.01234141077
327	1	0.01232229357
328	1	0.01225944338
329	1	0.0122046816
330	1	0.01219500364
331	1	0.01213842412
332	1	0.01213571813
333	1	0.01204543761
334	1	0.0120155027
335	1	0.01197046713
336	1	0.01189061883
337	1	0.0118361838
338	1	0.01177730868
339	1	0.01173285582
340	1	0.01173020574
341	1	0.01168771702
342	1	0.0116850867
343	1	0.01162866717
344	1	0.01162138542
345	1	0.01158652929
346	1	0.01155616274
347	1	0.0115375378
348	1	0.01153750797
349	1	0.01143544073
350	1	0.0113867334
351	1	0.01134326608
352	1	0.01131403422
