iter	Passed	Remaining
0	0	641
1	1	640
2	2	839
3	3	757
4	3	696
5	4	679
6	4	660
7	5	632
8	5	622
9	6	610
10	6	602
11	7	594
12	7	587
13	8	580
14	8	578
15	9	573
16	9	570
17	10	566
18	10	562
19	11	558
20	11	557
21	12	558
22	13	561
23	13	564
24	14	562
25	14	558
26	15	559
27	16	560
28	16	562
29	17	563
30	17	560
31	18	561
32	19	567
33	19	567
34	20	567
35	21	566
36	21	565
37	22	563
38	22	561
39	23	564
40	24	563
41	24	565
42	25	564
43	26	566
44	26	566
45	27	566
46	27	564
47	28	562
48	28	562
49	29	563
50	30	562
51	30	561
52	31	563
53	32	563
54	32	563
55	33	563
56	34	564
57	34	564
58	35	565
59	36	565
60	36	564
61	37	563
62	37	563
63	38	564
64	39	563
65	39	563
66	40	562
67	41	562
68	41	562
69	42	562
70	42	561
71	43	560
72	44	569
73	45	570
74	46	570
75	46	570
76	47	572
77	48	572
78	49	571
79	49	572
80	50	571
81	51	571
82	51	570
83	52	569
84	52	568
85	53	568
86	54	568
87	54	566
88	55	566
89	55	565
90	56	565
91	56	561
92	57	562
93	58	562
94	59	562
95	59	562
96	60	562
97	61	563
98	61	563
99	62	562
100	63	561
101	63	560
102	64	559
103	64	558
104	65	557
105	66	557
106	66	557
107	67	556
108	67	555
109	68	554
110	69	554
111	69	553
112	70	551
113	70	551
114	71	551
115	72	550
116	72	549
117	73	550
118	74	549
119	74	549
120	75	549
121	76	548
122	76	548
123	77	547
124	78	546
125	78	545
126	79	544
127	79	543
128	80	542
129	80	541
130	81	540
131	82	539
132	82	539
133	83	539
134	84	538
135	84	538
136	85	538
137	86	537
138	86	536
139	87	535
140	87	535
141	88	534
142	89	533
143	89	532
144	90	532
145	90	532
146	91	530
147	92	530
148	92	530
149	93	530
150	94	529
151	94	528
152	95	527
153	95	526
154	96	525
155	97	525
156	97	525
157	98	524
158	99	523
159	99	522
160	100	521
161	100	521
162	101	520
163	101	519
164	102	518
165	103	518
166	103	517
167	104	517
168	105	516
169	105	516
170	106	515
171	106	514
172	107	514
173	108	513
174	108	513
175	109	512
176	110	512
177	110	511
178	111	510
179	111	509
180	112	509
181	113	508
182	113	507
183	114	506
184	114	505
185	115	505
186	116	504
187	116	503
188	117	503
189	117	502
190	118	502
191	119	501
192	119	501
193	120	501
194	121	500
195	121	499
196	122	499
197	123	498
198	123	497
199	124	497
200	124	496
201	125	496
202	126	495
203	127	495
204	127	494
205	128	494
206	128	493
207	129	492
208	130	492
209	130	491
210	131	491
211	131	490
212	132	490
213	133	489
214	134	489
215	134	489
216	135	488
217	135	487
218	136	487
219	137	486
220	137	485
221	138	485
222	139	484
223	139	484
224	140	483
225	140	482
226	141	481
227	142	481
228	142	481
229	143	480
230	144	479
231	144	478
232	145	479
233	146	479
234	146	477
235	147	477
236	148	476
237	148	476
238	149	476
239	150	475
240	150	474
241	151	474
242	151	473
243	152	472
244	153	472
245	153	471
246	154	471
247	155	471
248	156	470
249	156	469
250	157	469
251	157	468
252	158	467
253	159	467
254	159	466
255	160	466
256	160	465
257	161	464
258	162	464
259	162	463
260	163	462
261	164	463
262	165	462
263	165	461
264	166	460
265	166	460
266	167	459
267	168	459
268	168	458
269	169	458
270	170	457
271	170	457
272	171	457
273	172	456
274	172	455
275	173	455
276	174	454
277	174	454
278	175	453
279	176	453
280	176	452
281	177	451
282	178	451
283	178	450
284	179	450
285	180	449
286	180	448
287	181	448
288	181	447
289	182	446
290	182	445
291	183	444
292	183	443
293	184	443
294	185	442
295	185	441
296	186	440
297	186	440
298	187	439
299	188	439
300	188	438
301	189	438
302	190	437
303	190	436
304	191	436
305	192	435
306	192	434
307	193	434
308	193	433
309	194	432
310	195	432
311	195	432
312	196	431
313	197	430
314	197	429
315	198	429
316	198	428
317	199	427
318	199	426
319	200	426
320	201	425
321	201	424
322	202	424
323	203	423
324	203	422
325	204	422
326	204	421
327	205	421
328	206	420
329	206	419
330	207	419
331	207	418
332	208	417
333	209	416
334	209	416
335	210	415
336	210	414
337	211	413
338	211	413
339	212	412
340	213	412
341	213	411
342	214	410
343	215	410
344	216	410
345	216	409
346	217	409
347	218	409
348	219	408
349	219	408
